model,recall,precision
LogisticRegression,1.0,0.04044467972472208
LogisticRegression,1.0,0.04044896230410843
LogisticRegression,1.0,0.04045324579053267
LogisticRegression,1.0,0.04045753018428299
LogisticRegression,1.0,0.04046181548564771
LogisticRegression,1.0,0.040466101694915255
LogisticRegression,1.0,0.04047038881237419
LogisticRegression,1.0,0.040474676838313205
LogisticRegression,1.0,0.04047896577302109
LogisticRegression,1.0,0.04048325561678678
LogisticRegression,1.0,0.04048754636989931
LogisticRegression,1.0,0.04049183803264787
LogisticRegression,1.0,0.04049613060532174
LogisticRegression,1.0,0.04050042408821035
LogisticRegression,1.0,0.040504718481603225
LogisticRegression,1.0,0.040509013785790034
LogisticRegression,1.0,0.04051331000106056
LogisticRegression,1.0,0.04051760712770471
LogisticRegression,1.0,0.04052190516601252
LogisticRegression,1.0,0.04052620411627413
LogisticRegression,1.0,0.04053050397877984
LogisticRegression,1.0,0.040534804753820035
LogisticRegression,1.0,0.040539106441685235
LogisticRegression,1.0,0.0405434090426661
LogisticRegression,1.0,0.04054771255705339
LogisticRegression,1.0,0.040552016985138
LogisticRegression,1.0,0.04055632232721096
LogisticRegression,1.0,0.040560628583563386
LogisticRegression,1.0,0.04056493575448657
LogisticRegression,1.0,0.04056924384027188
LogisticRegression,1.0,0.040573552841210836
LogisticRegression,1.0,0.04057786275759507
LogisticRegression,1.0,0.04058217358971635
LogisticRegression,1.0,0.04058648533786655
LogisticRegression,1.0,0.04059079800233769
LogisticRegression,1.0,0.04059511158342189
LogisticRegression,1.0,0.04059942608141141
LogisticRegression,1.0,0.04060374149659864
LogisticRegression,1.0,0.040608057829276074
LogisticRegression,1.0,0.04061237507973634
LogisticRegression,1.0,0.0406166932482722
LogisticRegression,1.0,0.04062101233517652
LogisticRegression,1.0,0.040625332340742316
LogisticRegression,1.0,0.04062965326526271
LogisticRegression,1.0,0.040633975109030954
LogisticRegression,1.0,0.040638297872340426
LogisticRegression,1.0,0.04064262155548463
LogisticRegression,1.0,0.040646946158757184
LogisticRegression,0.9973821989528796,0.04054485474087475
LogisticRegression,0.9973821989528796,0.040549169859514685
LogisticRegression,0.9973821989528796,0.040553485896753595
LogisticRegression,0.9973821989528796,0.04055780285288482
LogisticRegression,0.9973821989528796,0.04056212072820185
LogisticRegression,0.9973821989528796,0.04056643952299829
LogisticRegression,0.9973821989528796,0.04057075923756789
LogisticRegression,0.9973821989528796,0.040575079872204475
LogisticRegression,0.9973821989528796,0.040579401427202046
LogisticRegression,0.9973821989528796,0.04058372390285471
LogisticRegression,0.9973821989528796,0.0405880472994567
LogisticRegression,0.9973821989528796,0.040592371617302364
LogisticRegression,0.9973821989528796,0.0405966968566862
LogisticRegression,0.9973821989528796,0.04060102301790281
LogisticRegression,0.9973821989528796,0.04060535010124693
LogisticRegression,0.9973821989528796,0.04060967810701343
LogisticRegression,0.9973821989528796,0.04061400703549728
LogisticRegression,0.9973821989528796,0.0406183368869936
LogisticRegression,0.9973821989528796,0.04062266766179763
LogisticRegression,0.9973821989528796,0.04062699936020473
LogisticRegression,0.9973821989528796,0.0406313319825104
LogisticRegression,0.9973821989528796,0.04063566552901024
LogisticRegression,0.9973821989528796,0.04064
LogisticRegression,0.9973821989528796,0.04064433539577555
LogisticRegression,0.9973821989528796,0.04064867171663288
LogisticRegression,0.9973821989528796,0.040653008962868116
LogisticRegression,0.9973821989528796,0.040657347134777505
LogisticRegression,0.9973821989528796,0.04066168623265742
LogisticRegression,0.9973821989528796,0.040666026256804357
LogisticRegression,0.9973821989528796,0.04067036720751494
LogisticRegression,0.9973821989528796,0.04067470908508594
LogisticRegression,0.9973821989528796,0.04067905188981422
LogisticRegression,0.9973821989528796,0.0406833956219968
LogisticRegression,0.9973821989528796,0.0406877402819308
LogisticRegression,0.9973821989528796,0.04069208586991349
LogisticRegression,0.9973821989528796,0.04069643238624226
LogisticRegression,0.9973821989528796,0.04070077983121461
LogisticRegression,0.9973821989528796,0.040705128205128206
LogisticRegression,0.9973821989528796,0.0407094775082808
LogisticRegression,0.9973821989528796,0.04071382774097029
LogisticRegression,0.9973821989528796,0.04071817890349471
LogisticRegression,0.9973821989528796,0.0407225309961522
LogisticRegression,0.9973821989528796,0.040726884019241044
LogisticRegression,0.9973821989528796,0.04073123797305965
LogisticRegression,0.9973821989528796,0.04073559285790655
LogisticRegression,0.9973821989528796,0.04073994867408041
LogisticRegression,0.9973821989528796,0.04074430542188001
LogisticRegression,0.9973821989528796,0.04074866310160428
LogisticRegression,0.9973821989528796,0.04075302171355225
LogisticRegression,0.9973821989528796,0.040757381258023105
LogisticRegression,0.9973821989528796,0.040761741735316145
LogisticRegression,0.9973821989528796,0.04076610314573079
LogisticRegression,0.9973821989528796,0.040770465489566615
LogisticRegression,0.9973821989528796,0.04077482876712329
LogisticRegression,0.9973821989528796,0.04077919297870063
LogisticRegression,0.9973821989528796,0.040783558124598586
LogisticRegression,0.9973821989528796,0.040787924205117225
LogisticRegression,0.9973821989528796,0.04079229122055675
LogisticRegression,0.9973821989528796,0.04079665917121748
LogisticRegression,0.9973821989528796,0.04080102805739987
LogisticRegression,0.9973821989528796,0.04080539787940452
LogisticRegression,0.9973821989528796,0.040809768637532134
LogisticRegression,0.9973821989528796,0.040814140332083554
LogisticRegression,0.9973821989528796,0.04081851296335976
LogisticRegression,0.9973821989528796,0.04082288653166184
LogisticRegression,0.9973821989528796,0.04082726103729104
LogisticRegression,0.9973821989528796,0.04083163648054871
LogisticRegression,0.9973821989528796,0.04083601286173633
LogisticRegression,0.9973821989528796,0.04084039018115554
LogisticRegression,0.9973821989528796,0.04084476843910806
LogisticRegression,0.9973821989528796,0.04084914763589579
LogisticRegression,0.9973821989528796,0.04085352777182072
LogisticRegression,0.9973821989528796,0.04085790884718499
LogisticRegression,0.9973821989528796,0.04086229086229086
LogisticRegression,0.9973821989528796,0.04086667381744074
LogisticRegression,0.9973821989528796,0.040871057712937135
LogisticRegression,0.9973821989528796,0.040875442549082715
LogisticRegression,0.9973821989528796,0.040879828326180256
LogisticRegression,0.9973821989528796,0.04088421504453268
LogisticRegression,0.9973821989528796,0.040888602704443014
LogisticRegression,0.9973821989528796,0.040892991306214446
LogisticRegression,0.9973821989528796,0.04089738085015028
LogisticRegression,0.9973821989528796,0.04090177133655395
LogisticRegression,0.9973821989528796,0.04090616276572901
LogisticRegression,0.9973821989528796,0.04091055513797917
LogisticRegression,0.9973821989528796,0.04091494845360825
LogisticRegression,0.9973821989528796,0.0409193427129202
LogisticRegression,0.9973821989528796,0.040923737916219116
LogisticRegression,0.9973821989528796,0.04092813406380922
LogisticRegression,0.9973821989528796,0.04093253115599484
LogisticRegression,0.9973821989528796,0.04093692919308048
LogisticRegression,0.9973821989528796,0.04094132817537073
LogisticRegression,0.9973821989528796,0.04094572810317034
LogisticRegression,0.9973821989528796,0.04095012897678418
LogisticRegression,0.9973821989528796,0.04095453079651725
LogisticRegression,0.9973821989528796,0.040958933562674694
LogisticRegression,0.9973821989528796,0.04096333727556177
LogisticRegression,0.9973821989528796,0.04096774193548387
LogisticRegression,0.9973821989528796,0.04097214754274653
LogisticRegression,0.9973821989528796,0.04097655409765541
LogisticRegression,0.9973821989528796,0.04098096160051629
LogisticRegression,0.9973821989528796,0.04098537005163511
LogisticRegression,0.9973821989528796,0.04098977945131791
LogisticRegression,0.9973821989528796,0.040994189799870885
LogisticRegression,0.9973821989528796,0.04099860109760035
LogisticRegression,0.9973821989528796,0.04100301334481274
LogisticRegression,0.9973821989528796,0.04100742654181466
LogisticRegression,0.9973821989528796,0.04101184068891281
LogisticRegression,0.9973821989528796,0.04101625578641404
LogisticRegression,0.9973821989528796,0.04102067183462532
LogisticRegression,0.9973821989528796,0.04102508883385377
LogisticRegression,0.9973821989528796,0.04102950678440663
LogisticRegression,0.9973821989528796,0.041033925686591276
LogisticRegression,0.9973821989528796,0.041038345540715206
LogisticRegression,0.9973821989528796,0.04104276634708607
LogisticRegression,0.9973821989528796,0.041047188106011635
LogisticRegression,0.9973821989528796,0.04105161081779981
LogisticRegression,0.9973821989528796,0.04105603448275862
LogisticRegression,0.9973821989528796,0.041060459101196246
LogisticRegression,0.9973821989528796,0.041064884673420995
LogisticRegression,0.9973821989528796,0.0410693111997413
LogisticRegression,0.9973821989528796,0.04107373868046572
LogisticRegression,0.9973821989528796,0.04107816711590297
LogisticRegression,0.9973821989528796,0.041082596506361875
LogisticRegression,0.9973821989528796,0.04108702685215141
LogisticRegression,0.9973821989528796,0.04109145815358067
LogisticRegression,0.9973821989528796,0.0410958904109589
LogisticRegression,0.9973821989528796,0.04110032362459547
LogisticRegression,0.9973821989528796,0.04110475779479987
LogisticRegression,0.9973821989528796,0.04110919292188174
LogisticRegression,0.9973821989528796,0.041113629006150856
LogisticRegression,0.9973821989528796,0.041118066047917116
LogisticRegression,0.9973821989528796,0.04112250404749056
LogisticRegression,0.9973821989528796,0.04112694300518135
LogisticRegression,0.9973821989528796,0.041131382921299794
LogisticRegression,0.9973821989528796,0.04113582379615634
LogisticRegression,0.9973821989528796,0.04114026563006155
LogisticRegression,0.9973821989528796,0.04114470842332613
LogisticRegression,0.9973821989528796,0.04114915217626094
LogisticRegression,0.9973821989528796,0.04115359688917693
LogisticRegression,0.9973821989528796,0.04115804256238522
LogisticRegression,0.9973821989528796,0.04116248919619706
LogisticRegression,0.9973821989528796,0.04116693679092383
LogisticRegression,0.9973821989528796,0.041171385346877025
LogisticRegression,0.9973821989528796,0.041175834864368314
LogisticRegression,0.9973821989528796,0.04118028534370947
LogisticRegression,0.9973821989528796,0.04118473678521241
LogisticRegression,0.9973821989528796,0.041189189189189186
LogisticRegression,0.9973821989528796,0.041193642555951995
LogisticRegression,0.9973821989528796,0.04119809688581315
LogisticRegression,0.9973821989528796,0.04120255217908511
LogisticRegression,0.9973821989528796,0.04120700843608047
LogisticRegression,0.9973821989528796,0.04121146565711195
LogisticRegression,0.9973821989528796,0.041215923842492425
LogisticRegression,0.9973821989528796,0.041220382992534894
LogisticRegression,0.9973821989528796,0.04122484310755248
LogisticRegression,0.9973821989528796,0.04122930418785846
LogisticRegression,0.9973821989528796,0.041233766233766234
LogisticRegression,0.9973821989528796,0.04123822924558935
LogisticRegression,0.9973821989528796,0.041242693223641484
LogisticRegression,0.9973821989528796,0.04124715816823644
LogisticRegression,0.9973821989528796,0.04125162407968817
LogisticRegression,0.9973821989528796,0.04125609095831077
LogisticRegression,0.9973821989528796,0.04126055880441845
LogisticRegression,0.9973821989528796,0.041265027618325574
LogisticRegression,0.9973821989528796,0.04126949740034662
LogisticRegression,0.9973821989528796,0.04127396815079623
LogisticRegression,0.9973821989528796,0.041278439869989164
LogisticRegression,0.9973821989528796,0.04128291255824033
LogisticRegression,0.9947643979057592,0.0411790203727785
LogisticRegression,0.9947643979057592,0.04118348325566273
LogisticRegression,0.9947643979057592,0.04118794710600477
LogisticRegression,0.9947643979057592,0.041192411924119245
LogisticRegression,0.9921465968586387,0.04108846487424111
LogisticRegression,0.9921465968586387,0.041092919874227474
LogisticRegression,0.9921465968586387,0.04109737584038169
LogisticRegression,0.9921465968586387,0.04110183277301811
LogisticRegression,0.9921465968586387,0.041106290672451196
LogisticRegression,0.9921465968586387,0.04111074953899555
LogisticRegression,0.9921465968586387,0.041115209372965936
LogisticRegression,0.9921465968586387,0.04111967017467723
LogisticRegression,0.9921465968586387,0.04112413194444445
LogisticRegression,0.9921465968586387,0.041128594682582745
LogisticRegression,0.9921465968586387,0.04113305838940742
LogisticRegression,0.9921465968586387,0.04113752306523391
LogisticRegression,0.9921465968586387,0.04114198871037777
LogisticRegression,0.9921465968586387,0.04114645532515471
LogisticRegression,0.9921465968586387,0.041150922909880566
LogisticRegression,0.9921465968586387,0.04115539146487132
LogisticRegression,0.9921465968586387,0.041159860990443095
LogisticRegression,0.9921465968586387,0.041164331486912134
LogisticRegression,0.9921465968586387,0.04116880295459483
LogisticRegression,0.9921465968586387,0.04117327539380771
LogisticRegression,0.9921465968586387,0.04117774880486745
LogisticRegression,0.9921465968586387,0.04118222318809084
LogisticRegression,0.9921465968586387,0.04118669854379483
LogisticRegression,0.9921465968586387,0.04119117487229649
LogisticRegression,0.9921465968586387,0.04119565217391304
